acctno,mail_1,mail_2,mail_3,mail_4,mail_5,mail_6,mail_7,mail_8,mail_9,mail_10,mail_11,mail_12,mail_13,mail_14,mail_15,mail_16
SLDGWGQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLDGPDW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SLDGLWH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLDGLDQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLDGGQY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLDGYHW,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
SLDHQHH,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
SLDHWWD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLDHAQQ,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
SLDYSHA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLDYGYH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLDDQAP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
SGQQWAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SGQQSQW,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
SGQQGQY,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
SGQAPHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SGQAYDS,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
SGQADQW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGQSQYW,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0
SGQSASQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGQSHDA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
SGQSYYS,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
SGQPSWW,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1
SGQPSPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SGQPSDP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGQPPQA,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
SGQPPYL,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0
SGQPGGH,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
SGQPDHA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SGQLQYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SGQLSPA,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGQLPWH,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
SGQLLYW,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1
SGQLGPD,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
SGQLDSY,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0
SGQGAAL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SGQGPHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SGQGDLW,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
SGQGDHH,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
SGQGDDS,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
SGQHWYW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SGQHPLP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
SGQHGHY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGQHHWQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SGQYQYQ,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1
SGQYALP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SGQYLHH,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
SGQYHGH,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
SGQYDSA,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1
SGQDQQL,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
SGQDWPG,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
SGQDAPL,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
SGQDPSL,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
SGQDHSA,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0
SGQDHYW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGQDYWL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGQDYGP,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SGQDDGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SGWQPSS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGWQPYA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGWQLWG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGWQLPQ,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1
SGWQHGS,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
SGWQYAW,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
SGWWQAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SGWWWWY,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
SGWWWPA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
SGWWAQD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGWWLQG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGWWLYD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGWWYQS,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1
SGWWDSG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGWAWGL,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0
SGWAAPD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SGWAPWS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SGWAHWQ,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
SGWAHPP,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0
SGWAYWD,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGWAYWD,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGWSWLL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGWSSHD,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
SGWSPSH,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
SGWSPYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SGWSYPW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGWSYDQ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SGWPLDW,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1
SGAHYAL,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
SGAYGGG,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
SGPWALL,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1
SGPSGDD,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
SGPLQHP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGPGSPG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGPGLYL,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
