AIRPORT_ID	AIRPORT_NAME	AIRPORT_CITY	AIRPORT_STATE	AIRPORT_COUNTRY	ICAO	LCHG_DATE	RECORD_STATUS	Record_End
KS05	VAN PAK                                           	PRAIRIE VIEW          	KS	  	N	12/02/1999	I	 
KS06	LAWRENCE MEMORIAL HOSPITAL HELIPORT               	LAWRENCE              	KS	  	N	09/26/2002	I	 
KS07	STOCKTON MUNI                                     	STOCKTON              	KS	  	N	12/02/1999	I	 
KS08	FISHER                                            	BURRTON               	KS	  	N	12/02/1999	I	 
KS09	SOLOMON VALLEY AIRPARK                            	MINNEAPOLIS           	KS	  	N	12/02/1999	I	 
KS10	FLYING R.N.                                       	VALLEY CENTER         	KS	  	 	09/26/2002	I	 
KS11	CANEY MUNICIPAL HOSPITAL HELICOPTER PAD           	CANEY                 	KS	  	N	12/02/1999	I	 
KS12	JENKINSON                                         	MEADE                 	KS	  	N	12/02/1999	I	 
KS13	ALBERS                                            	CHENEY                	KS	  	N	12/02/1999	I	 
KS14	SCHOOLCRAFT                                       	AGRICOLA              	KS	  	N	12/02/1999	I	 
KS15	PRIVATE FARM PROPERTY                             	TOWANDA               	KS	  	 	09/26/2002	I	 
KS16	CURTIS                                            	KECHI                 	KS	  	N	12/02/1999	I	 
KS17	GAIL BALLARD ARPT                                 	HAVILAND              	KS	  	N	09/26/2002	I	 
KS18	SILLS AIR PARK                                    	AUGUSTA               	KS	  	N	12/02/1999	I	 
KS19	FLYING H RANCH                                    	AUGUSTA               	KS	  	N	12/02/1999	I	 
KS2 	STURGEON LANDING SASK,SECONDARY AERODROME         	STURGEON LANDING SASK 	  	CA	 	04/19/1990	A	 
KS20	BRADY-PIPPIN                                      	AUGUSTA               	KS	  	N	12/02/1999	I	 
KS21	FLORY /PRIVATE/                                   	BALDWIN CITY          	KS	  	N	12/02/1999	I	 
KS22	NORTHERNS                                         	BASEHOR               	KS	  	N	12/02/1999	I	 
KS23	OVERMILLER                                        	SMITH CENTER          	KS	  	N	12/02/1999	I	 
KS24	BERKLEY                                           	BENNINGTON            	KS	  	 	09/26/2002	I	 
KS25	LUCAS                                             	BIG BOW               	KS	  	N	12/02/1999	I	 
KS26	HORTTOR                                           	BLUE MOUND            	KS	  	N	12/02/1999	I	 
KS27	BOVINAIR                                          	BONNER SPRINGS        	KS	  	N	12/02/1999	I	 
KS28	BELCHER                                           	BROOKVILLE            	KS	  	N	12/02/1999	I	 
KS29	RUCKER BURDETT                                    	BURDETT               	KS	  	N	12/02/1999	I	 
KS3 	CUDWORTH SASK,SECONDARY AERODROME                 	CUDWORTH SASK         	  	CA	 	04/19/1990	A	 
KS30	MARYSVILLE MEDIPORT                               	MARYSVILLE            	KS	  	N	12/02/1999	I	 
KS31	WILLIAM NEWTON MEMORIAL HOSPITAL                  	WINFIELD              	KS	  	N	12/02/1999	I	 
KS32	RANDS                                             	BELLE PLAINE          	KS	  	N	12/02/1999	I	 
KS33	HOLMES AIRPARK                                    	CLAY CENTER           	KS	  	N	12/02/1999	I	 
KS34	RUCKER                                            	CLEARWATER            	KS	  	N	12/02/1999	I	 
KS35	BLOSSER FIELD                                     	CONCORDIA             	KS	  	 	09/26/2002	I	 
KS36	WAMSLEY FIELD                                     	CONWAY SPRINGS        	KS	  	N	12/02/1999	I	 
KS37	ALEXANDER RANCH                                   	COUNCIL GROVE         	KS	  	 	09/26/2002	I	 
